1: Wei Liu, weight = 3522
2: Yan Zhang, weight = 3409
3: Wen Gao, weight = 3356
4: H. Vincent Poor, weight = 2995
5: Yang Yang, weight = 2771
6: Wei Zhang, weight = 2765
7: Wei Wang, weight = 2683
8: Jing Li, weight = 2618
9: Hai Jin, weight = 2571
10: Leonard Barolli, weight = 2474
11: Philip S. Yu, weight = 2469
12: Paul M. Thompson, weight = 2455
13: Jun Liu, weight = 2381
14: Jiawei Han, weight = 2373
15: Yu Zhang, weight = 2361
16: Li Zhang, weight = 2361
17: Ying Zhang, weight = 2313
18: Thomas S. Huang, weight = 2309
19: Luca Benini, weight = 2293
20: Chao Wang, weight = 2291
21: Tao Li, weight = 2263
22: Yang Liu, weight = 2255
23: Bin Li, weight = 2254
24: Jun Wang, weight = 2220
25: Jing Wang, weight = 2207
26: Tao Wang, weight = 2203
27: Francky Catthoor, weight = 2196
28: Jun Zhang, weight = 2190
29: Arthur W. Toga, weight = 2188
30: Lei Zhang, weight = 2185
31: Piet Demeester, weight = 2182
32: Ying Wang, weight = 2174
33: Bo Zhang, weight = 2160
34: Wei Li, weight = 2154
35: Yan Wang, weight = 2150
36: Hui Li, weight = 2145
37: Jian Wang, weight = 2129
38: Peng Zhang, weight = 2124
39: Jing Liu, weight = 2113
40: Lajos Hanzo, weight = 2084
41: Yang Li, weight = 2058
42: Hao Wang, weight = 2056
43: Xin Wang, weight = 2050
44: Peng Li, weight = 2050
45: Wei Chen, weight = 2043
46: Xiang Li, weight = 2039
47: Qing Li, weight = 2028
48: Nassir Navab, weight = 2018
49: Yan Chen, weight = 2017
50: Xiaodong Wang, weight = 2015
51: Yong Zhang, weight = 2014
52: Peng Wang, weight = 2012
53: Elisa Bertino, weight = 2011
54: Bin Wang, weight = 2007
55: Yan Li, weight = 1990
56: Ying Li, weight = 1973
57: Ian T. Foster, weight = 1942
58: Gang Wang, weight = 1930
59: Lei Wang, weight = 1928
60: Hans-Peter Seidel, weight = 1915
61: Shuicheng Yan, weight = 1894
62: Xi Chen, weight = 1885
63: Yong Wang, weight = 1878
64: Erik D. Demaine, weight = 1858
65: Mahmut T. Kandemir, weight = 1855
66: Jian Li, weight = 1851
67: Mohamed-Slim Alouini, weight = 1844
68: Toshio Fukuda, weight = 1832
69: Mario Gerla, weight = 1828
70: Jack Dongarra, weight = 1821
71: Min Chen, weight = 1807
72: Dong Wang, weight = 1804
73: Rik Van de Walle, weight = 1796
74: Tao Zhang, weight = 1790
75: Ajith Abraham, weight = 1781
76: Jing Zhang, weight = 1770
77: Daniel Rueckert, weight = 1770
78: Hong Liu, weight = 1769
79: Jun Li, weight = 1769
80: Jian Zhang, weight = 1761
81: Victor C. M. Leung, weight = 1751
82: Yong Liu, weight = 1747
83: Alberto L. Sangiovanni-Vincentelli, weight = 1737
84: Fatos Xhafa, weight = 1736
85: Qian Zhang, weight = 1735
