1: Wei Wang, weight = 410523
2: Wei Liu, weight = 409669
3: Yan Zhang, weight = 379298
4: Yang Yang, weight = 348728
5: Wei Zhang, weight = 336257
6: Lei Zhang, weight = 333110
7: Jing Li, weight = 333101
8: Yu Zhang, weight = 322482
9: Wei Li, weight = 309920
10: Li Zhang, weight = 309194
11: Jun Wang, weight = 304092
12: Jing Wang, weight = 300895
13: Yang Liu, weight = 296669
14: Yan Li, weight = 295210
15: Jun Zhang, weight = 286355
16: Wei Chen, weight = 282160
17: Jun Liu, weight = 280684
18: Tao Wang, weight = 279361
19: Xin Wang, weight = 279122
20: Yan Wang, weight = 279075
21: Lei Wang, weight = 276322
22: Bin Li, weight = 273233
23: Yang Li, weight = 268188
24: Hao Wang, weight = 268136
25: Jing Liu, weight = 262578
26: Hui Li, weight = 259588
27: Jian Zhang, weight = 259448
28: Athanasios V. Vasilakos, weight = 252537
29: Ying Zhang, weight = 251759
30: Xin Li, weight = 251601
31: Peng Zhang, weight = 247528
32: Xin Liu, weight = 246596
33: Ying Wang, weight = 244519
34: Jie Zhang, weight = 244107
35: Chao Wang, weight = 243452
36: Gang Wang, weight = 242658
37: Bin Wang, weight = 240974
38: Peng Li, weight = 240425
39: Xiang Li, weight = 238022
40: Ying Li, weight = 236563
41: Jing Zhang, weight = 235642
42: Peng Wang, weight = 234427
43: Li Li, weight = 234019
44: Tao Li, weight = 233040
45: Jun Li, weight = 232455
46: Jian Wang, weight = 231929
47: Qing Li, weight = 231758
48: Tao Zhang, weight = 231546
49: Yi Liu, weight = 230011
50: Dong Wang, weight = 227276
51: Jian Li, weight = 227228
52: Yan Chen, weight = 225923
53: Yong Wang, weight = 225525
54: Xi Chen, weight = 223471
55: Bo Zhang, weight = 222449
56: Jie Li, weight = 218755
57: Bo Liu, weight = 217382
58: Yi Wang, weight = 217103
59: Ying Liu, weight = 211828
60: Li Wang, weight = 211592
61: Fan Zhang, weight = 211359
62: Hai Jin, weight = 210966
63: Yi Zhang, weight = 209577
64: Yong Zhang, weight = 208145
65: Bo Li, weight = 207672
66: Meng Wang, weight = 204873
67: Wei Wu, weight = 203922
68: Hui Wang, weight = 203806
69: Jie Liu, weight = 203804
70: Qian Zhang, weight = 203025
71: Li Chen, weight = 196246
72: Hui Zhang, weight = 195703
73: Chao Zhang, weight = 195581
74: Qing Wang, weight = 195455
75: Wei Xu, weight = 194718
76: Yang Zhang, weight = 194484
77: Hui Liu, weight = 191140
78: Hong Liu, weight = 188732
79: Rui Zhang, weight = 188704
80: Hong Zhang, weight = 188619
81: Feng Liu, weight = 186644
82: Yong Liu, weight = 185380
83: Min Chen, weight = 184774
84: Yu Liu, weight = 183798
85: Wen Gao, weight = 183157
86: Yan Liu, weight = 182885
87: Jiawei Han, weight = 182847
88: Bo Wang, weight = 180798
89: Xin Chen, weight = 179683
90: Yi Yang, weight = 179503
91: Xin Zhang, weight = 178422
92: Wei Wei, weight = 176151
93: Rui Wang, weight = 175812
94: Yi Li, weight = 175361
95: Min Li, weight = 173156
96: Yu Wang, weight = 173107
97: Jian Yang, weight = 172042
98: Yu Chen, weight = 170162
99: Ming Li, weight = 169994
100: Rui Li, weight = 169726
101: Shuicheng Yan, weight = 169254
102: Feng Wang, weight = 169140
103: Ying Chen, weight = 168545
104: Qiang Li, weight = 168422
105: Di Wu, weight = 168072
106: Qi Wang, weight = 166578
107: Jian Chen, weight = 166378
108: Gang Li, weight = 166092
109: Fei Wang, weight = 165725
110: Fan Yang, weight = 165720
111: Qian Wang, weight = 164773
