count: authors
126: Ailixier Aikebaier, Makoto Takizawa, Tomoya Enokido, 
124: Bart Dhoedt, Filip De Turck, Piet Demeester, 
115: Carlos Miguel Tavares Calafate, Juan-Carlos Cano, Pietro Manzoni, 
111: Hiroshi G. Okuno, Kazunori Komatani, Tetsuya Ogata, 
105: Diego Calvanese, Giuseppe De Giacomo, Maurizio Lenzerini, 
104: Didier Colle, Mario Pickavet, Piet Demeester, 
104: Juan Antonio Gómez Pulido, Juan Manuel Sánchez-Pérez, Miguel A. Vega-Rodríguez, 
94: Dacheng Tao, Xinbo Gao, Xuelong Li, 
94: Mahmut T. Kandemir, Mary Jane Irwin, Narayanan Vijaykrishnan, 
87: Leibo Liu, Shaojun Wei, Shouyi Yin, 
87: Alberto Bosio, Arnaud Virazel, Patrick Girard, 
87: Arnaud Virazel, Luigi Dilillo, Patrick Girard, 
87: Evjola Spaho, Fatos Xhafa, Leonard Barolli, 
86: Jordi Pérez-Romero, Oriol Sallent, Ramón Agustí, 
86: Michitaka Hirose, Takuji Narumi, Tomohiro Tanikawa, 
84: Shiguang Shan, Wen Gao, Xilin Chen, 
82: Arnaud Virazel, Patrick Girard, Serge Pravossoudovitch, 
82: Jan Platos, Pavel Krömer, Václav Snásel, 
79: Jin Song Dong, Jun Sun 0001, Yang Liu 0003, 
79: Min Zhang 0006, Shaoping Ma, Yiqun Liu, 
77: Fatos Xhafa, Leonard Barolli, Tetsuya Oda, 
76: Alberto Bosio, Luigi Dilillo, Patrick Girard, 
76: Hiroshi Ishiguro, Norihiro Hagita, Takayuki Kanda, 
75: Depeng Jin, Li Su, Lieguang Zeng, 
74: Alberto Bosio, Arnaud Virazel, Luigi Dilillo, 
73: Pierangela Samarati, Sabrina De Capitani di Vimercati, Stefano Paraboschi, 
73: Euisin Lee, Sang-Ha Kim, Soochang Park, 
72: Antonio J. López-Martín, Jaime Ramírez-Angulo, Ramón González Carvajal, 
72: Alberto Macii, Enrico Macii, Massimo Poncino, 
71: Fatos Xhafa, Leonard Barolli, Makoto Ikeda, 
71: Sakriani Sakti, Satoshi Nakamura, Tomoki Toda, 
70: Depeng Jin, Lieguang Zeng, Yong Li 0008, 
70: Floriana Esposito, Stefano Ferilli, Teresa Maria Altomare Basile, 
70: Arjan Durresi, Fatos Xhafa, Leonard Barolli, 
69: Pierangela Samarati, Sabrina De Capitani di Vimercati, Sara Foresti, 
69: Elis Kulla, Leonard Barolli, Makoto Ikeda, 
69: Graham Neubig, Sakriani Sakti, Satoshi Nakamura, 
69: Graham Neubig, Sakriani Sakti, Tomoki Toda, 
69: Graham Neubig, Satoshi Nakamura, Tomoki Toda, 
68: Hannu Tenhunen, Juha Plosila, Pasi Liljeberg, 
68: Floriana Esposito, Nicola Di Mauro, Stefano Ferilli, 
68: Nicola Di Mauro, Stefano Ferilli, Teresa Maria Altomare Basile, 
68: Hideo Bannai, Masayuki Takeda, Shunsuke Inenaga, 
68: Claudia d'Amato, Floriana Esposito, Nicola Fanizzi, 
67: Ana Fernández Vilas, José J. Pazos Arias, Rebeca P. Díaz Redondo, 
66: Jun-Ichi Aoe, Kazuhiro Morita, Masao Fuketa, 
66: Greig I. de Zubicaray, Margaret J. Wright, Paul M. Thompson, 
66: Kenichi Ohara, Tatsuo Arai, Yasushi Mae, 
65: José J. Pazos Arias, Martín López Nores, Yolanda Blanco-Fernández, 
63: Giovanni Semeraro, Marco de Gemmis, Pasquale Lops, 
63: Depeng Jin, Li Su, Yong Li 0008, 
62: Joel H. Saltz, Tahsin M. Kurç, Ümit V. Çatalyürek, 
62: Clinton Fookes, Simon Denman, Sridha Sridharan, 
62: Takeo Ohgane, Toshihiko Nishimura, Yasutaka Ogawa, 
61: Eugenio Di Sciascio, Francesco M. Donini, Tommaso Di Noia, 
61: Lei Guo 0002, Tianming Liu, Xintao Hu, 
61: Akira Notsu, Hidetomo Ichihashi, Katsuhiro Honda, 
